Bezeichnung / Feldgeräte,Beschreibung
VVF53.15-0.8,"Durchgangsventil,Flansch,PN25,DN15,0.8"
VVF53.150-315K,"Durchgangsv,Flansch,PN25,DN150,315,komp."
VVF53.150-400,"Durchgangsventil,Flansch,PN25,DN150,400"
VVF53.15-1,"Durchgangsventil,Flansch,PN25,DN15,1"
VVF53.15-1.25,"Durchgangsventil,Flansch,PN25,DN15,1.25"
VVF53.15-1.6,"Durchgangsventil,Flansch,PN25,DN15,1.6"
VVF53.15-2,"Durchgangsventil,Flansch,PN25,DN15,2"
VVF53.15-2.5,"Durchgangsventil,Flansch,PN25,DN15,2.5"
VVF53.15-3.2,"Durchgangsventil,Flansch,PN25,DN15,3.2"
VVF53.15-4,"Durchgangsventil,Flansch,PN25,DN15,4"
VVF53.200-450K,"Durchgangsv,Flansch,PN25,DN200,450,komp."
VVF53.20-6.3,"Durchgangsventil,Flansch,PN25,DN20,6.3"
VVF53.250-630K,"Durchgangsv,Flansch,PN25,DN250,630,komp."
VVF53.25-10,"Durchgangsventil,Flansch,PN25,DN25,10"
VVF53.25-5,"Durchgangsventil,Flansch,PN25,DN25,5"
VVF53.25-6.3,"Durchgangsventil,Flansch,PN25,DN25,6.3"
VVF53.25-8,"Durchgangsventil,Flansch,PN25,DN25,8"
VVF53.32-16,"Durchgangsventil,Flansch,PN25,DN32,16"
VVF53.40-12.5,"Durchgangsventil,Flansch,PN25,DN40,12.5"
VVF53.40-16,"Durchgangsventil,Flansch,PN25,DN40,16"
VVF53.40-20,"Durchgangsventil,Flansch,PN25,DN40,20"
VVF53.40-25,"Durchgangsventil,Flansch,PN25,DN40,25"
VVF53.50-31.5,"Durchgangsventil,Flansch,PN25,DN50,31.5"
VVF53.50-40,"Durchgangsventil,Flansch,PN25,DN50,40"
VVF53.50-40K,"Durchgangsv,Flansch,PN25,DN50,40,komp."
VVF53.65-63,"Durchgangsventil,Flansch,PN25,DN65,63"
VVF53.65-63K,"Durchgangsv,Flansch,PN25,DN65,63,komp."
VVF53.80-100,"Durchgangsventil,Flansch,PN25,DN80,100"
VVF53.80-100K,"Durchgangsv,Flansch,PN25,DN80,100,komp."
VVF61.09,"Durchgangsventil,Flansch,PN40,DN15,0.19"
VVF61.10,"Durchgangsventil,Flansch,PN40,DN15,0.3"
VVF61.11,"Durchgangsventil,Flansch,PN40,DN15,0.45"
VVF61.12,"Durchgangsventil,Flansch,PN40,DN15,0.7"
VVF61.12K,"Durchgangsv,F,PN40,DN15,geräuschopt"
VVF61.13,"Durchgangsventil,Flansch,PN40,DN15,1.2"
VVF61.13K,"Durchgangsv,F,PN40,DN15,geräuschopt"
VVF61.14,"Durchgangsventil,Flansch,PN40,DN15,1.9"
VVF61.14K,"Durchgangsv,F,PN40,DN15,geräuschopt"
VVF61.15,"Durchgangsventil,Flansch,PN40,DN15,3"
VVF61.15K,"Durchgangsv,F,PN40,DN15,geräuschopt"
VVF61.24,"Durchgangsventil,Flansch,PN40,DN25,5"
VVF61.24K,"Durchgangsv,F,PN40,DN25,geräuschopt"
VVF61.25,"Durchgangsventil,Flansch,PN40,DN25,7.5"
VVF61.25K,"Durchgangsv,F,PN40,DN25,geräuschopt"
VVF61.39,"Durchgangsventil,Flansch,PN40,DN40,12"
VVF61.40,"Durchgangsventil,Flansch,PN40,DN40,19"
VVF61.50,"Durchgangsventil,Flansch,PN40,DN50,31"
VVF61.65,"Durchgangsventil,Flansch,PN40,DN65,49"
VVF61.80,"Durchgangsventil,Flansch,PN40,DN80.78"
VVF61.90,"Durchgangsventil,Flansch,PN40,DN100,124"
VVF61.91,"Durchgangsventil,Flansch,PN40,DN125,200"
VVF61.92,"Durchgangsventil,Flansch,PN40,DN150,300"
VVG41.11,"Durchgangsventil, PN16,DN15, AG, 0.63"
VVG41.12,"Durchgangsventil, PN16,DN15, AG, 1"
VVG41.13,"Durchgangsventil, PN16,DN15, AG, 1.6"
VVG41.14,"Durchgangsventil, PN16,DN15, AG, 2.5"
VVG41.15,"Durchgangsventil, PN16,DN15, AG, 4"
VVG41.20,"Durchgangsventil, PN16,DN20, AG, 6.3"
VVG41.25,"Durchgangsventil, PN16,DN25, AG, 10"
VVG41.32,"Durchgangsventil, PN16,DN32, AG, 16"
VVG41.40,"Durchgangsventil, PN16,DN40, AG, 25"
VVG41.50,"Durchgangsventil, PN16,DN50, AG, 40"
VVG44.15-0.25,"Durchgangsventil, PN16, DN15, AG, 0.25"
VVG44.15-0.4,"Durchgangsventil, PN16, DN15, AG, 0.4"
VVG44.15-0.63,"Durchgangsventil, PN16, DN15, AG, 0.63"
VVG44.15-1,"Durchgangsventil, PN16, DN15, AG, 1"
VVG44.15-1.6,"Durchgangsventil, PN16, DN15, AG, 1.6"
VVG44.15-2.5,"Durchgangsventil, PN16, DN15, AG, 2.5"
VVG44.15-4,"Durchgangsventil, PN16, DN15, AG, 4"
VVG44.20-6.3,"Durchgangsventil, PN16, DN20, AG, 6.3"
VVG44.25-10,"Durchgangsventil, PN16, DN25, AG, 10"
VVG44.32-16,"Durchgangsventil, PN16, DN32, AG, 16"
VVG44.40-25,"Durchgangsventil, PN16, DN40, AG, 25"
VVI46.15/2,"Durchgangsventil, DN15, IG, 2"
VVI46.25/2,"Durchgangsventil, DN25, IG, 5"
VVP45.10-0.25,"Durchgangsventil, PN16,DN10,AG, 0.25"
VVP45.10-0.4,"Durchgangsventil, PN16,DN10,AG, 0.4"
VVP45.10-0.63,"Durchgangsventil, PN16,DN10,AG, 0.63"
VVP45.10-1,"Durchgangsventil, PN16,DN10,AG, 1"
VVP45.10-1.6,"Durchgangsventil, PN16,DN10,AG, 1.6"
VVP45.15-2.5,"Durchgangsventil, PN16,DN15,AG, 2.5"
VVP45.20-4,"Durchgangsventil, PN16,DN20,AG, 4"
VVP45.25-10,"Durchgangsventil, PN16,DN25,AG, 10"
VVP45.25-6.3,"Durchgangsventil, PN16,DN25,AG, 6.3"
VVP45.32-16,"Durchgangsventil, PN16,DN32,AG, 16"
VVP45.40-25,"Durchgangsventil, PN16,DN40,AG, 25"
VVP47.10-0.25,"Durchgangsventil, PN16,DN10,AG, 0.25"
VVP47.10-0.4,"Durchgangsventil, PN16,DN10,AG, 0.4"
VVP47.10-0.63,"Durchgangsventil, PN16,DN10,AG, 0.63"
VVP47.10-1,"Durchgangsventil, PN16,DN10,AG, 1"
VVP47.10-1.6,"Durchgangsventil, PN16,DN10,AG, 1.6"
VVP47.15-2.5,"Durchgangsventil, PN16,DN15,AG, 2.5"
VVP47.20-4,"Durchgangsventil, PN16,DN20,AG, 4"
VWG41.10-0.25-0.4,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/0.4"
VWG41.10-0.25-0.4,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/0.4"
VWG41.10-0.25-0.65,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/0.65"
VWG41.10-0.25-0.65,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/0.65"
VWG41.10-0.25-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.0"
VWG41.10-0.25-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.0"
VWG41.10-0.25-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.3"
VWG41.10-0.25-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.3"
VWG41.10-0.25-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.6"
VWG41.10-0.25-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.6"
VWG41.10-0.25-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.9"
VWG41.10-0.25-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',0.25/1.9"
VWG41.10-0.4-0.4,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/0.4"
VWG41.10-0.4-0.4,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/0.4"
VWG41.10-0.4-0.65,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/0.65"
VWG41.10-0.4-0.65,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/0.65"
VWG41.10-0.4-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.0"
VWG41.10-0.4-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.0"
VWG41.10-0.4-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.3"
VWG41.10-0.4-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.3"
VWG41.10-0.4-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.6"
VWG41.10-0.4-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.6"
VWG41.10-0.4-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.9"
VWG41.10-0.4-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',0.4/1.9"
VWG41.10-0.65-0.65,"6-Weg-Kugelhahn,DN10,1/2'',0.65/0.65"
VWG41.10-0.65-0.65,"6-Weg-Kugelhahn,DN10,1/2'',0.65/0.65"
VWG41.10-0.65-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.0"
VWG41.10-0.65-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.0"
VWG41.10-0.65-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.3"
VWG41.10-0.65-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.3"
VWG41.10-0.65-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.6"
VWG41.10-0.65-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.6"
VWG41.10-0.65-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.9"
VWG41.10-0.65-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',0.65/1.9"
VWG41.10-1.0-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.0"
VWG41.10-1.0-1.0,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.0"
VWG41.10-1.0-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.3"
VWG41.10-1.0-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.3"
VWG41.10-1.0-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.6"
VWG41.10-1.0-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.6"
VWG41.10-1.0-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.9"
VWG41.10-1.0-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.0/1.9"
VWG41.10-1.3-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',1.3/1.3"
VWG41.10-1.3-1.3,"6-Weg-Regelkugelhahn,DN10,1/2'',1.3/1.3"
VWG41.10-1.3-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',1.3/1.6"
VWG41.10-1.3-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',1.3/1.6"
VWG41.10-1.3-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.3/1.9"
VWG41.10-1.3-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.3/1.9"
VWG41.10-1.6-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',1.6/1.6"
VWG41.10-1.6-1.6,"6-Weg-Regelkugelhahn,DN10,1/2'',1.6/1.6"
VWG41.10-1.6-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.6/1.9"
VWG41.10-1.6-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.6/1.9"
VWG41.10-1.9-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.9/1.9"
VWG41.10-1.9-1.9,"6-Weg-Regelkugelhahn,DN10,1/2'',1.9/1.9"
VWG41.20-0.25-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',0.25/2.5"
VWG41.20-0.25-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',0.25/2.5"
VWG41.20-0.25-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',0.25/3.45"
VWG41.20-0.25-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',0.25/3.45"
VWG41.20-0.25-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',0.25/4.25"
VWG41.20-0.25-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',0.25/4.25"
VWG41.20-0.4-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',0.4/2.5"
VWG41.20-0.4-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',0.4/2.5"
VWG41.20-0.4-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',0.4/3.45"
VWG41.20-0.4-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',0.4/3.45"
VWG41.20-0.4-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',0.4/4.25"
VWG41.20-0.4-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',0.4/4.25"
VWG41.20-0.65-2.5,"6-Weg-Regelkugelhahn, DN20, 1"", 0.65/2.5"
VWG41.20-0.65-2.5,"6-Weg-Regelkugelhahn, DN20, 1"", 0.65/2.5"
VWG41.20-0.65-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',0.65/3.45"
VWG41.20-0.65-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',0.65/3.45"
VWG41.20-0.65-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',0.65/4.25"
VWG41.20-0.65-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',0.65/4.25"
VWG41.20-1.0-2.5,"6-Weg-Regelkugelhahn, DN20, 1"", 1.0/2.5"
VWG41.20-1.0-2.5,"6-Weg-Regelkugelhahn, DN20, 1"", 1.0/2.5"
VWG41.20-1.0-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',1.0/3.45"
VWG41.20-1.0-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',1.0/3.45"
VWG41.20-1.0-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',1.0/4.25"
VWG41.20-1.0-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',1.0/4.25"
VWG41.20-1.3-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',1.3/2.5"
VWG41.20-1.3-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',1.3/2.5"
VWG41.20-1.3-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',1.3/3.45"
VWG41.20-1.3-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',1.3/3.45"
VWG41.20-1.3-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',1.3/4.25"
VWG41.20-1.3-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',1.3/4.25"
VWG41.20-1.6-2.5,"6-Weg-Regelkugelhahn, DN20, 1"", 1.6/2.5"
VWG41.20-1.6-2.5,"6-Weg-Regelkugelhahn, DN20, 1"", 1.6/2.5"
VWG41.20-1.6-3.45,"6-Weg-Regelkugelhahn, DN20, 1"", 1.6/3.45"
VWG41.20-1.6-3.45,"6-Weg-Regelkugelhahn, DN20, 1"", 1.6/3.45"
VWG41.20-1.6-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',1.6/4.25"
VWG41.20-1.6-4.25,"6-Weg-Regelkugelhahn,DN20, 1'',1.6/4.25"
VWG41.20-2.5-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',2.5/2.5"
VWG41.20-2.5-2.5,"6-Weg-Regelkugelhahn,DN20, 1'',2.5/2.5"
VWG41.20-2.5-3.45,"6-Weg-Regelkugelhahn, DN20, 1"", 2.5/3.45"
VWG41.20-2.5-3.45,"6-Weg-Regelkugelhahn, DN20, 1"", 2.5/3.45"
VWG41.20-2.5-4.25,"6-Weg-Regelkugelhahn, DN20, 1"", 2.5/4.25"
VWG41.20-2.5-4.25,"6-Weg-Regelkugelhahn, DN20, 1"", 2.5/4.25"
VWG41.20-3.45-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',3.45/3.45"
VWG41.20-3.45-3.45,"6-Weg-Regelkugelhahn,DN20, 1'',3.45/3.45"
VWG41.20-4.25-4.25,"6-Weg-Regelkugelhahn, DN20, 1"",4.25/4.25"
VWG41.20-4.25-4.25,"6-Weg-Regelkugelhahn, DN20, 1"",4.25/4.25"
VXF22.100-160,"Dreiwegventil,Flansch,PN6,DN100,160"
VXF22.25-10,"Dreiwegventil,Flansch,PN6,DN25,10"
VXF22.25-2.5,"Dreiwegventil,Flansch,PN6,DN25,2.5"
VXF22.25-4,"Dreiwegventil,Flansch,PN6,DN25,4"
VXF22.25-6.3,"Dreiwegventil,Flansch,PN6,DN25,6.3"
VXF22.40-16,"Dreiwegventil,Flansch,PN6,DN40,16"
VXF22.40-25,"Dreiwegventil,Flansch,PN6,DN40,25"
VXF22.50-40,"Dreiwegventil,Flansch,PN6,DN50,40"
VXF22.65-63,"Dreiwegventil,Flansch,PN6,DN65,63"
VXF22.80-100,"Dreiwegventil,Flansch,PN6,DN80,100"
VXF42.100-125,"Dreiwegventil,Flansch,PN16,DN100,125"
VXF42.100-160,"Dreiwegventil,Flansch,PN16,DN100,160"
VXF42.125-200,"Dreiwegventil,Flansch,PN16,DN125,200"
VXF42.125-250,"Dreiwegventil,Flansch,PN16,DN125,250"
VXF42.150-315,"Dreiwegventil,Flansch,PN16,DN150,315"
VXF42.150-400,"Dreiwegventil,Flansch,PN16,DN150,400"
VXF42.15-1.6,"Dreiwegventil,Flansch,PN16,DN15,1.6"
VXF42.15-2.5,"Dreiwegventil,Flansch,PN16,DN15,2.5"
VXF42.15-4,"Dreiwegventil,Flansch,PN16,DN15,4"
VXF42.20-6.3,"Dreiwegventil,Flansch,PN16,DN20,6.3"
VXF42.25-10,"Dreiwegventil,Flansch,PN16,DN25,10"
VXF42.25-6.3,"Dreiwegventil,Flansch,PN16,DN25,6.3"
VXF42.32-16,"Dreiwegventil,Flansch,PN16,DN32,16"
VXF42.40-16,"Dreiwegventil,Flansch,PN16,DN40,16"
VXF42.40-25,"Dreiwegventil,Flansch,PN16,DN40,25"
VXF42.50-31.5,"Dreiwegventil,Flansch,PN16,DN50,31.5"
VXF42.50-40,"Dreiwegventil,Flansch,PN16,DN50,40"
VXF42.65-50,"Dreiwegventil,Flansch,PN16,DN65,50"
VXF42.65-63,"Dreiwegventil,Flansch,PN16,DN65.63"
VXF42.80-100,"Dreiwegventil,Flansch,PN16,DN80,100"
VXF42.80-80,"Dreiwegventil,Flansch,PN16,DN80,80"
VXF43.100-125,"Dreiwegventil,Flansch,PN16,DN100,125"
VXF43.100-160,"Dreiwegventil,Flansch,PN16,DN100,160"
VXF43.125-200,"Dreiwegventil,Flansch,PN16,DN125,200"
VXF43.125-250,"Dreiwegventil,Flansch,PN16,DN125,250"
VXF43.150-315,"Dreiwegventil,Flansch,PN16,DN150,315"
VXF43.150-400,"Dreiwegventil,Flansch,PN16,DN150,400"
VXF43.65-50,"Dreiwegventil,Flansch,PN16,DN65,50"
VXF43.65-63,"Dreiwegventil,Flansch,PN16,DN65,63"
VXF43.80-100,"Dreiwegventil,Flansch,PN16,DN80,100"
VXF43.80-80,"Dreiwegventil,Flansch,PN16,DN80,80"
VXF53.100-160,"Dreiwegventil,Flansch,PN25,DN100,160"
VXF53.125-250,"Dreiwegventil,Flansch,PN25,DN125,250"
VXF53.150-400,"Dreiwegventil,Flansch,PN25,DN150,400"
VXF53.15-1.6,"Dreiwegventil,Flansch,PN25,DN15,1.6"
VXF53.15-2.5,"Dreiwegventil,Flansch,PN25,DN15,2.5"
VXF53.15-4,"Dreiwegventil,Flansch,PN25,DN15,4"
VXF53.20-6.3,"Dreiwegventil,Flansch,PN25,DN20,6.3"
VXF53.25-10,"Dreiwegventil,Flansch,PN25,DN25,10"
VXF53.25-6.3,"Dreiwegventil,Flansch,PN25,DN25,6.3"
VXF53.32-16,"Dreiwegventil,Flansch,PN25,DN32,16"
VXF53.40-16,"Dreiwegventil,Flansch,PN25,DN40,16"
VXF53.40-25,"Dreiwegventil,Flansch,PN25,DN40,25"
VXF53.50-40,"Dreiwegventil,Flansch,PN25,DN50,40"
VXF53.65-63,"Dreiwegventil,Flansch,PN25,DN65,63"
VXF53.80-100,"Dreiwegventil,Flansch,PN25,DN80,100"
VXF61.14,"Dreiwegventil,Flansch,PN40,DN15,1.9"
VXF61.15,"Dreiwegventil,Flansch,PN40,DN15,3"
VXF61.24,"Dreiwegventil,Flansch,PN40,DN25,5"
VXF61.25,"Dreiwegventil,Flansch,PN40,DN25,7.5"
VXF61.39,"Dreiwegventil,Flansch,PN40,DN40,12"
VXF61.40,"Dreiwegventil,Flansch,PN40,DN40,19"
VXF61.50,"Dreiwegventil,Flansch,PN40,DN50,31"
VXF61.65,"Dreiwegventil,Flansch,PN40,DN65,49"
VXF61.80,"Dreiwegventil,Flansch,PN40,DN80,78"
VXF61.90,"Dreiwegventil,Flansch,PN40,DN100,124"
VXF61.91,"Dreiwegventil,Flansch,PN40,DN125,200"
VXF61.92,"Dreiwegventil,Flansch,PN40,DN150,300"
VXG41.1301,"Dreiwegventil, PN16,DN15, AG, 1.6,dByp"
VXG41.1401,"Dreiwegventil, PN16,DN15, AG, 2.5,dByp"
VXG41.15,"Dreiwegventil, PN16,DN15, AG, 4"
VXG41.1501,"Dreiwegventil, PN16,DN15, AG, 4,dByp"
VXG41.20,"Dreiwegventil, PN16,DN20, AG, 6.3"
VXG41.2001,"Dreiwegventil, PN16,DN20, AG, 6.3,dByp"
VXG41.25,"Dreiwegventil, PN16,DN25, AG, 10"
VXG41.2501,"Dreiwegventil, PN16,DN25, AG, 10,dByp"
VXG41.32,"Dreiwegventil, PN16,DN32, AG, 16"
VXG41.3201,"Dreiwegventil, PN16,DN32, AG, 16,dByp"
VXG41.40,"Dreiwegventil, PN16,DN40, AG, 25"
VXG41.4001,"Dreiwegventil, PN16,DN40, AG, 25,dByp"
VXG41.50,"Dreiwegventil, PN16,DN50, AG, 40"
VXG41.5001,"Dreiwegventil, PN16,DN50, AG, 40,dByp"
VXG44.15-0.25,"Dreiwegventil, PN16, DN15, AG, 0.25"
VXG44.15-0.4,"Dreiwegventil, PN16, DN15, AG, 0.4"
VXG44.15-0.63,"Dreiwegventil, PN16, DN15, AG, 0.63"
VXG44.15-1,"Dreiwegventil, PN16, DN15, AG, 1"
VXG44.15-1.6,"Dreiwegventil, PN16, DN15, AG, 1.6"
VXG44.15-2.5,"Dreiwegventil, PN16, DN15, AG, 2.5"
VXG44.15-4,"Dreiwegventil, PN16, DN15, AG, 4"
VXG44.20-6.3,"Dreiwegventil, PN16, DN20, AG, 6.3"
VXG44.25-10,"Dreiwegventil, PN16, DN25, AG, 10"
VXG44.32-16,"Dreiwegventil, PN16, DN32, AG, 16"
VXG44.40-25,"Dreiwegventil, PN16, DN40, AG, 25"
VXI46.15/2,"Dreiwegventil, DN15, IG, 2"
VXI46.20/2,"Dreiwegventil, DN20, IG, 3.5"
VXI46.25/2,"Dreiwegventil, DN25, IG, 5"
VXI46.25T,"Dreiwegventil, DN25, IG, 5.5"
VXP45.10-0.25,"Dreiwegventil, PN16,DN10,AG, 0.25"
VXP45.10-0.4,"Dreiwegventil, PN16,DN10,AG, 0.4"
VXP45.10-0.63,"Dreiwegventil, PN16,DN10,AG, 0.63"
VXP45.10-1,"Dreiwegventil, PN16,DN10,AG, 1"
VXP45.10-1.6,"Dreiwegventil, PN16,DN10,AG, 1.6"
VXP45.15-2.5,"Dreiwegventil, PN16,DN15,AG, 2.5"
VXP45.20-4,"Dreiwegventil, PN16,DN20,AG, 4"
VXP45.25-10,"Dreiwegventil, PN16,DN25,AG, 10"
VXP45.25-6.3,"Dreiwegventil, PN16,DN25,AG, 6.3"
VXP45.32-16,"Dreiwegventil, PN16,DN32,AG, 16"
VXP45.40-25,"Dreiwegventil, PN16,DN40,AG, 25"
VXP47.10-0.25,"Dreiwegventil, PN16,DN10,AG, 0.25"
VXP47.10-0.4,"Dreiwegventil, PN16,DN10,AG, 0.4"
VXP47.10-0.63,"Dreiwegventil, PN16,DN10,AG, 0.63"
VXP47.10-1,"Dreiwegventil, PN16,DN10,AG, 1"
VXP47.10-1.6,"Dreiwegventil, PN16,DN10,AG, 1, MV"
VXP47.15-2.5,"Dreiwegventil, PN16,DN15,AG, 2.5"
VXP47.20-4,"Dreiwegventil, PN16,DN20,AG, 4"
W,W&T ComServer 3 Port (58633)
WFK30.D080,"Mech Kaltwasserzähler 2.5m3/h,80 mm,3/4"""
WFK30.D110,"Mech Kaltwasserzähler 2.5m3/h,110 mm,3/4"""
WFK40.D080,"Mech Kaltwasserzähler 2.5m3/h,80 mm,3/4"""
WFK40.D110,"Mech Kaltwasserzähler 2.5m3/h,110 mm,3/4"""
WFK40.E130,"Mech Kaltwasserzähler 4m3/h,130 mm,1"""
WFM501-E000H0,"Wärmezähler 0.6m3/h,110 mm,3/4"""
WFM502-E000H0,"Wärmezähler 1.5m3/h,110 mm,3/4"""
WFM503-J000H0,"Wärmezähler 2.5m3/h,130 mm,1"""
WFM541-G000H0,"Wärmez 0.6m3/h,110 mm,3/4'',MBus,2xI,splt"
WFM542-C000H0,"Wärmez 1.5m3/h,80 mm,3/4'',MBus,2xI,splt"
WFM542-G000H0,"Wärmez 1.5m3/h,110 mm,3/4'',MBus,2xI,splt"
WFM543-L000H0,"Wärmez 2.5m3/h,130 mm,1'',MBus,2xI,splt"
WFN541-G000H0,"Kombiz 0.6m3/h,3/4'',110 mm,MBus,2xI,splt"
WFN542-G000H0,"Kombiz 1.5m3/h,3/4"",110 mm,MBus,2xI,splt"
WFN543-L000H0,"Kombiz 2.5m3/h,1'',130 mm,MBus,2xI,splt"
WFW30.D080,"Mech Warmwasserzähler 2.5m3/h,80 mm,3/4"""
WFW30.D110,"Mech Warmwasserzähler 2.5m3/h,110 mm,3/4"""
WFW30.E130,"Mech Warmwasserzähler 4m3/h,130 mm,1"""
WFW40.D080,"Mech Warmwasserzähler 2.5m3/h,80 mm,3/4"""
WFW40.D110,"Mech Warmwasserzähler 2.5m3/h,110 mm,3/4"""
WFW40.E130,"Mech Warmwasserzähler 4m3/h,130 mm,1"""
WFZ.R2,"Verschraubungen AG ½"", Überwurfmutter ¾"""
WFZ.R2-1,Verschraubungen AG ¾
WFZ31,M-Bus-Aufsatzmodul zu Wasserzähler
WFZ34,"Impulsmodul, 10 l pro Impuls"
WFZ43,"Impulsmodul, Reed-Kontakt und NAMUR"
WFZ44,"Impulsmodul, Reed-Kontakt"
WFZ51,M-Bus Aufsatzmodul für WF..5.. Wärmez.
WIN2012-TSCAL,Windows 2012 RDS User CAL Hersteller Mic
WINPRODVDPLYBK,"Microsoft DVD Playback,"
WME.L18/H,"Einrohranschlussteil,2"",AG3/4,110 mm,Set"
WMK10.D,"Messkapsel Kaltwasserzähler, 1,5m³/h"
WMW10.D,"Messkapsel Warmwasserzähler, 1,5m³/h"
WRI982,Verbrauchsdaten-Interface
WSM506-0E,"Wärmezähler 0.6m3/h,3/4"",110 mm"
WSM506-BE,"Wärmez. 0.6m3/h,3/4"",110 mm,M-Bus"
WSM515-0E,"Wärmezähler 1.5m3/h,3/4"",110 mm"
WSM515-BE,"Wärmez. 1.5m3/h,3/4"",110 mm,M-Bus"
WSM525-0E,"Wärmezähler 2.5m3/h,1"",130 mm"
WSM525-BE,"Wärmezähler 2.5m3/h,1"",130 mm,M-Bus"
WSM606-BE,"Wärmez. 0.6m3/h,3/4'',110 mm,M-Bus"
WSM615-BE,"Wärmez. 1.5m3/h,3/4'',110 mm,M-Bus"
